Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,15-03-2020 00:00,Northeast,New York,New York,Women's Apparel,$47.00,352,"$16,544.00",$447.00,Outlet
Foot Locker,1185732,17-03-2021 00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00,350,"$8,750.00","$3,063.00",In-store
Foot Locker,1185732,18-06-2021 00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00,350,"$8,750.00","$3,500.00",In-store
Foot Locker,1185732,18-10-2021 00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00,350,"$8,750.00","$3,063.00",In-store
Foot Locker,1185732,18-11-2021 00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00,350,"$8,750.00","$3,063.00",In-store
West Gear,1185732,12-05-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$25.00,350,"$8,750.00","$3,063.00",In-store
West Gear,1185732,12-09-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$10.00,350,"$3,500.00","$1,225.00",In-store
Amazon,1185732,10-04-2021 00:00,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00,350,"$8,750.00","$3,500.00",Online
Walmart,1185732,18-10-2021 00:00,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00,350,"$8,750.00","$3,500.00",Online
Sports Direct,1197831,21-02-2021 00:00,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00,350,"$8,750.00","$3,063.00",Online
Walmart,1197831,19-03-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$10.00,350,"$3,500.00","$1,400.00",Online
Walmart,1197831,19-03-2021 00:00,South,Arkansas,Little Rock,Women's Apparel,$25.00,350,"$8,750.00","$3,500.00",Online
Walmart,1197831,19-09-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$15.00,350,"$5,250.00","$2,100.00",Online
West Gear,1197831,21-02-2021 00:00,South,Oklahoma,Oklahoma City,Women's Apparel,$20.00,350,"$7,000.00","$2,800.00",Online
West Gear,1197831,21-10-2021 00:00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00,350,"$7,000.00","$2,450.00",Online
Kohl's,1197831,16-01-2021 00:00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00,350,"$8,750.00","$3,063.00",Online
Kohl's,1197831,16-01-2021 00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00,350,"$5,250.00","$1,838.00",Online
Kohl's,1197831,16-01-2021 00:00,South,Oklahoma,Oklahoma City,Women's Apparel,$25.00,350,"$8,750.00","$3,063.00",Online
West Gear,1185732,17-02-2021 00:00,Northeast,West Virginia,Charleston,Women's Apparel,$25.00,350,"$8,750.00","$3,500.00",In-store
Foot Locker,1185732,03-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$32.00,350,"$11,200.00",$414.00,Outlet
Foot Locker,1185732,24-01-2020 00:00,Northeast,New York,New York,Women's Apparel,$36.00,350,"$12,600.00",$365.00,Outlet
Walmart,1185732,20-04-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$43.00,350,"$15,050.00",$497.00,Outlet
Walmart,1185732,24-04-2020 00:00,Northeast,New York,New York,Women's Apparel,$45.00,350,"$15,750.00",$473.00,Outlet
Walmart,1197831,23-08-2020 00:00,South,Texas,Houston,Women's Apparel,$38.00,350,"$13,300.00",$758.00,Outlet
Foot Locker,1185732,09-01-2021 00:00,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00,349,"$9,074.00",$426.00,Outlet
Foot Locker,1185732,09-03-2020 00:00,Northeast,New York,New York,Women's Apparel,$46.00,347,"$15,962.00",$511.00,Outlet
West Gear,1185732,11-11-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$20.00,345,"$6,900.00","$2,415.00",In-store
West Gear,1128299,06-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,$41.00,341,"$13,981.00",$601.00,Outlet
Foot Locker,1185732,05-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$41.00,340,"$13,940.00",$474.00,Outlet
Walmart,1185732,18-07-2020 00:00,Northeast,New York,New York,Women's Apparel,$48.00,340,"$16,320.00",$490.00,Outlet
West Gear,1128299,12-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,$41.00,338,"$13,858.00",$527.00,Outlet
Foot Locker,1185732,01-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$47.00,336,"$15,792.00",$963.00,Online
Foot Locker,1185732,05-02-2020 00:00,Northeast,New York,New York,Women's Apparel,$39.00,333,"$12,987.00",$351.00,Outlet
Walmart,1185732,05-05-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$42.00,333,"$13,986.00",$559.00,Outlet
Walmart,1197831,26-10-2020 00:00,South,Texas,Houston,Men's Street Footwear,$32.00,333,"$10,656.00",$426.00,Outlet
Walmart,1197831,27-10-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$34.00,333,"$11,322.00",$476.00,Outlet
West Gear,1128299,12-02-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$46.00,332,"$15,272.00",$321.00,Outlet
Sports Direct,1197831,24-09-2021 00:00,South,Texas,Dallas,Women's Street Footwear,$35.00,332,"$11,620.00",$546.00,Outlet
Foot Locker,1185732,06-01-2020 00:00,Northeast,New York,New York,Women's Apparel,$38.00,330,"$12,540.00",$401.00,Outlet
Walmart,1185732,26-04-2020 00:00,Northeast,New York,New York,Women's Apparel,$50.00,330,"$16,500.00",$462.00,Outlet
Foot Locker,1185732,06-08-2021 00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,$62.00,326,"$20,212.00","$1,152.00",Online
Foot Locker,1185732,18-08-2021 00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00,325,"$8,125.00","$3,250.00",In-store
Foot Locker,1185732,18-11-2021 00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00,325,"$8,125.00","$3,250.00",In-store
West Gear,1185732,11-01-2021 00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$20.00,325,"$6,500.00","$2,600.00",In-store
West Gear,1185732,11-04-2021 00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00,325,"$8,125.00","$2,844.00",In-store
West Gear,1185732,11-04-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$15.00,325,"$4,875.00","$1,706.00",In-store
West Gear,1185732,12-09-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$10.00,325,"$3,250.00","$1,300.00",In-store
West Gear,1185732,12-09-2021 00:00,West,Utah,Salt Lake City,Men's Apparel,$20.00,325,"$6,500.00","$2,275.00",In-store
Amazon,1185732,09-03-2021 00:00,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00,325,"$8,125.00","$3,250.00",Online
Foot Locker,1185732,18-02-2021 00:00,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00,325,"$8,125.00","$3,250.00",Online
Walmart,1197831,19-03-2021 00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00,325,"$6,500.00","$2,275.00",Online
Walmart,1197831,19-09-2021 00:00,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00,325,"$4,875.00","$1,950.00",Online
Walmart,1197831,19-09-2021 00:00,South,Arkansas,Little Rock,Men's Apparel,$25.00,325,"$8,125.00","$2,844.00",Online
West Gear,1197831,21-02-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$15.00,325,"$4,875.00","$1,950.00",Online
Kohl's,1197831,14-02-2021 00:00,Midwest,Kansas,Wichita,Women's Apparel,$20.00,325,"$6,500.00","$2,275.00",Online
Kohl's,1197831,14-10-2021 00:00,Midwest,Kansas,Wichita,Men's Athletic Footwear,$20.00,325,"$6,500.00","$2,275.00",Online
West Gear,1185732,16-03-2021 00:00,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00,325,"$6,500.00","$2,600.00",In-store
Foot Locker,1185732,16-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$58.00,325,"$18,850.00","$1,150.00",Online
Foot Locker,1185732,31-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$40.00,324,"$12,960.00",$518.00,Outlet
Sports Direct,1185732,24-05-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$63.00,323,"$20,349.00","$1,140.00",Online
Foot Locker,1185732,21-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$32.00,323,"$10,336.00",$393.00,Outlet
Foot Locker,1185732,30-01-2020 00:00,Northeast,New York,New York,Women's Apparel,$36.00,323,"$11,628.00",$314.00,Outlet
Walmart,1197831,19-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$33.00,323,"$10,659.00",$448.00,Outlet
Walmart,1185732,02-05-2020 00:00,Northeast,New York,New York,Women's Apparel,$53.00,322,"$17,066.00",$478.00,Outlet
West Gear,1128299,11-02-2021 00:00,West,California,San Francisco,Men's Street Footwear,$40.00,322,"$12,880.00",$425.00,Outlet
Sports Direct,1197831,18-09-2021 00:00,South,Texas,Dallas,Women's Street Footwear,$33.00,322,"$10,626.00",$446.00,Outlet
Sports Direct,1197831,17-04-2021 00:00,South,Tennessee,Knoxville,Women's Street Footwear,$30.00,322,"$9,660.00",$483.00,Outlet
Sports Direct,1197831,08-09-2021 00:00,South,Alabama,Birmingham,Women's Street Footwear,$31.00,322,"$9,982.00",$559.00,Outlet
West Gear,1197831,20-11-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$25.00,320,"$8,000.00","$3,200.00",Online
Foot Locker,1185732,02-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$36.00,320,"$11,520.00",$403.00,Outlet
Foot Locker,1185732,03-03-2020 00:00,Northeast,New York,New York,Women's Apparel,$44.00,320,"$14,080.00",$408.00,Outlet
Foot Locker,1185732,10-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$59.00,319,"$18,821.00","$1,129.00",Online
Walmart,1197831,26-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,$37.00,319,"$11,803.00",$531.00,Online
Foot Locker,1185732,12-08-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$43.00,319,"$13,717.00",$782.00,Online
Foot Locker,1185732,11-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$41.00,318,"$13,038.00",$482.00,Outlet
Foot Locker,1185732,06-02-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$54.00,317,"$17,118.00","$1,096.00",Online
Foot Locker,1185732,08-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$39.00,315,"$12,285.00",$405.00,Outlet
Foot Locker,1185732,26-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$35.00,315,"$11,025.00",$397.00,Outlet
Foot Locker,1185732,01-02-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$35.00,315,"$11,025.00",$364.00,Outlet
Foot Locker,1185732,02-02-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$28.00,315,"$8,820.00",$335.00,Outlet
Walmart,1185732,21-04-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$36.00,315,"$11,340.00",$442.00,Outlet
Walmart,1185732,23-04-2020 00:00,Northeast,New York,New York,Men's Apparel,$44.00,315,"$13,860.00",$513.00,Outlet
Walmart,1197831,12-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$24.00,315,"$7,560.00",$295.00,Outlet
Walmart,1197831,07-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,$36.00,315,"$11,340.00",$431.00,Outlet
Kohl's,1189833,25-05-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$39.00,315,"$12,285.00",$565.00,Outlet
Foot Locker,1185732,27-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$27.00,314,"$8,478.00",$348.00,Outlet
Foot Locker,1185732,18-03-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$37.00,314,"$11,618.00",$430.00,Outlet
Sports Direct,1197831,23-04-2021 00:00,South,Tennessee,Knoxville,Women's Street Footwear,$39.00,314,"$12,246.00",$576.00,Outlet
Foot Locker,1185732,07-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$46.00,313,"$14,398.00",$893.00,Online
Foot Locker,1185732,04-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$55.00,313,"$17,215.00","$1,050.00",Online
Walmart,1185732,03-05-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$62.00,312,"$19,344.00","$1,238.00",Online
Foot Locker,1185732,07-02-2021 00:00,Southeast,Georgia,Atlanta,Men's Street Footwear,$38.00,312,"$11,856.00",$700.00,Online
Walmart,1185732,28-04-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$40.00,312,"$12,480.00",$449.00,Outlet
Foot Locker,1185732,05-07-2021 00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,$63.00,311,"$19,593.00","$1,156.00",Online
Walmart,1185732,04-05-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$43.00,310,"$13,330.00",$467.00,Outlet
Foot Locker,1185732,17-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$53.00,308,"$16,324.00",$669.00,Online
Sports Direct,1185732,03-08-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00,308,"$18,788.00",$996.00,Online
Foot Locker,1185732,05-01-2020 00:00,Northeast,New York,New York,Men's Apparel,$43.00,306,"$13,158.00",$487.00,Outlet
Foot Locker,1185732,23-01-2020 00:00,Northeast,New York,New York,Men's Apparel,$43.00,306,"$13,158.00",$461.00,Outlet
Walmart,1185732,22-04-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$34.00,306,"$10,404.00",$406.00,Outlet
Walmart,1185732,06-05-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$41.00,306,"$12,546.00",$502.00,Outlet
Sports Direct,1197831,31-07-2020 00:00,South,Texas,Houston,Men's Street Footwear,$20.00,306,"$6,120.00",$257.00,Outlet
Sports Direct,1197831,06-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$23.00,306,"$7,038.00",$260.00,Outlet
Sports Direct,1197831,07-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$29.00,306,"$8,874.00",$364.00,Outlet
Walmart,1197831,21-10-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$31.00,306,"$9,486.00",$379.00,Outlet
Walmart,1197831,31-10-2020 00:00,South,Texas,Houston,Women's Apparel,$41.00,306,"$12,546.00",$690.00,Outlet
West Gear,1128299,11-01-2021 00:00,West,California,San Francisco,Women's Apparel,$60.00,306,"$18,360.00",$477.00,Outlet
West Gear,1128299,06-02-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$46.00,306,"$14,076.00",$282.00,Outlet
Kohl's,1189833,01-05-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$36.00,306,"$11,016.00",$496.00,Outlet
Sports Direct,1197831,14-04-2021 00:00,South,Tennessee,Knoxville,Women's Apparel,$37.00,306,"$11,322.00",$668.00,Outlet
West Gear,1128299,16-07-2021 00:00,South,Louisiana,New Orleans,Men's Street Footwear,$62.00,306,"$18,972.00",$816.00,Outlet
Foot Locker,1185732,09-03-2020 00:00,Northeast,New York,New York,Women's Apparel,$64.00,305,"$19,520.00",$761.00,Online
Walmart,1197831,30-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$27.00,305,"$8,235.00",$305.00,Outlet
Walmart,1197831,31-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$33.00,305,"$10,065.00",$382.00,Outlet
Foot Locker,1197831,08-08-2021 00:00,West,Idaho,Boise,Women's Street Footwear,$39.00,305,"$11,895.00",$511.00,Outlet
West Gear,1185732,17-09-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$60.00,304,"$18,240.00","$1,040.00",Online
Walmart,1197831,29-08-2020 00:00,South,Texas,Houston,Women's Apparel,$36.00,302,"$10,872.00",$565.00,Outlet
West Gear,1128299,18-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,$45.00,302,"$13,590.00",$544.00,Outlet
Sports Direct,1197831,01-04-2021 00:00,South,Tennessee,Knoxville,Men's Apparel,$30.00,300,"$9,000.00","$3,150.00",Outlet
Sports Direct,1197831,28-09-2021 00:00,South,Alabama,Birmingham,Men's Apparel,$30.00,300,"$9,000.00","$4,050.00",Outlet
Foot Locker,1185732,19-05-2021 00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,$30.00,300,"$9,000.00","$3,150.00",In-store
Foot Locker,1185732,19-09-2021 00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00,300,"$4,500.00","$1,575.00",In-store
West Gear,1185732,11-02-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00,300,"$6,000.00","$2,400.00",In-store
West Gear,1185732,11-10-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$20.00,300,"$6,000.00","$2,100.00",In-store
Amazon,1185732,22-01-2021 00:00,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00,300,"$9,000.00","$3,600.00",Online
Foot Locker,1185732,17-04-2021 00:00,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00,300,"$6,000.00","$2,400.00",Online
Sports Direct,1197831,23-01-2021 00:00,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00,300,"$6,000.00","$2,400.00",Online
Walmart,1197831,20-04-2021 00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,$25.00,300,"$7,500.00","$2,625.00",Online
Walmart,1197831,20-04-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$15.00,300,"$4,500.00","$1,800.00",Online
Walmart,1197831,21-10-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$20.00,300,"$6,000.00","$2,400.00",Online
Kohl's,1197831,20-11-2021 00:00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00,300,"$4,500.00","$1,575.00",Online
Kohl's,1197831,14-02-2021 00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00,300,"$4,500.00","$1,575.00",Online
Kohl's,1197831,13-04-2021 00:00,Midwest,Kansas,Wichita,Women's Apparel,$30.00,300,"$9,000.00","$3,150.00",Online
Foot Locker,1197831,14-10-2021 00:00,Midwest,Kansas,Wichita,Women's Apparel,$30.00,300,"$9,000.00","$3,150.00",Online
West Gear,1185732,03-06-2021 00:00,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00,300,"$9,000.00","$3,150.00",In-store
West Gear,1185732,10-01-2021 00:00,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00,300,"$7,500.00","$2,625.00",In-store
West Gear,1185732,10-02-2021 00:00,Midwest,Indiana,Indianapolis,Women's Apparel,$20.00,300,"$6,000.00","$2,400.00",In-store
West Gear,1185732,17-01-2021 00:00,Midwest,Indiana,Indianapolis,Women's Street Footwear,$25.00,300,"$7,500.00","$3,000.00",In-store
West Gear,1185732,17-02-2021 00:00,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00,300,"$9,000.00","$3,600.00",In-store
Sports Direct,1185732,07-01-2021 00:00,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00,300,"$9,000.00","$2,700.00",In-store
Foot Locker,1185732,31-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$45.00,300,"$13,500.00",$837.00,Online
Walmart,1185732,04-05-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$51.00,300,"$15,300.00",$643.00,Online
West Gear,1185732,24-04-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$52.00,300,"$15,600.00",$874.00,Online
Walmart,1185732,27-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$60.00,299,"$17,940.00","$1,076.00",Online
West Gear,1185732,11-09-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$60.00,299,"$17,940.00","$1,076.00",Online
Walmart,1197831,10-09-2020 00:00,South,Texas,Houston,Women's Apparel,$42.00,298,"$12,516.00",$713.00,Outlet
Walmart,1197831,28-10-2020 00:00,South,Texas,Houston,Women's Street Footwear,$38.00,298,"$11,324.00",$430.00,Outlet
West Gear,1128299,23-07-2021 00:00,West,Oregon,Portland,Men's Street Footwear,$60.00,298,"$17,880.00",$751.00,Outlet
Walmart,1197831,01-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,$39.00,297,"$11,583.00",$533.00,Online
Foot Locker,1185732,07-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$38.00,297,"$11,286.00",$429.00,Outlet
Kohl's,1189833,19-04-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$36.00,297,"$10,692.00",$470.00,Outlet
Walmart,1128299,16-07-2021 00:00,Southeast,Florida,Orlando,Men's Street Footwear,$68.00,297,"$20,196.00",$747.00,Outlet
